title,source,csv file,git hub csv file,pdf link,pdf name,year
District wise Land Use Pattern 2001,Central Bureau of Statistics,"http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/District wise Land Use Pattern,2001.csv&nid=4245","https://github.com/opennepal/odp-geography/tree/master/District wise Land Use Pattern, 2001/data.csv",http://cbs.gov.np/wp-content/uploads/2014/07/Environment Statistics of Nepal 2013.pdf,Environment Statistics of Nepal 2013.pdf,
Forest Area Cover Percent (1978-2005),Food and Agriculture Organization of the United Nations,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/forest area cover percent.csv&nid=2550,https://github.com/opennepal/odp-geography/tree/master/Forest Area Cover Percent (1978-2005)/data.csv,http://www.fao.org/docrep/014/am250e/am250e00.pdf,am250e00.pdf,1978 - 2005
District and VDC codes of Nepal,,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/VDC codes of Nepal_0.csv&nid=62,https://github.com/opennepal/odp-geography/tree/master/District and VDC codes of Nepal/data.csv,,,
